Institution,Control,State,Category
Mansfield University,Public,PA,<a href="https://www.mansfield.edu/alerts/coronavirus.cfm" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Marietta College,Private,OH,<a href="https://www.marietta.edu/article/preparing-for-fall-semester" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Marquette University,Private,WI,<a href="ttps://today.marquette.edu/2020/04/covid-19-update-campus-operations-this-fall-and-new-commencement-date/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Marshall University,Public,WV,<a href="https://www.marshall.edu/ucomm/2020/04/27/university-making-tentative-plans-to-offer-on-campus-classes-for-fall-semester/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Mary Baldwin University,Private,VA,<a href="https://marybaldwin.edu/news/2020/05/06/mary-baldwin-university-announces-intent-open-residential-campus-fall-20/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Marymount Manhattan College,Private,NY,<a href="https://www.mmm.edu/offices/dow-zanghi-health-center/updates-regarding-coronavirus-covid-19/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Marymount University,Private,VA,<a href="http://www.marymount.edu/marymount.edu/media/Home/Saints-Reunite-DRAFT-06-09-2020-rev-2.pdf" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Maryville College,Private,TN,<a href="https://www.maryvillecollege.edu/news/2020/3096/mc-39-cautiously-optimistic-39-for-in-person-instruction-this-fall/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Massachusetts College of Pharmacy and Health Sciences,Private,MA,<a href="https://www.mcphs.edu/covid/students/fall-2020 " target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Massachusetts Institute of Technology,Private,MA,<a href="https://covid.mit.edu/updates/may-5-town-hall-faq" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Master's University,Private,CA,<a href="https://www.masters.edu/coronavirus" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
McDaniel College,Private,MD,<a href="https://www.mcdaniel.edu/student-life/health-wellness/covid-19-coronavirus-information" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
McMurry University,Private,TX,<a href="https://news.mcm.edu/2020/04/McMurry%20University%20Returns%20To%20Face-to-Face%20Classes.html#.XrnFMBNKhmB" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Mendocino College,Public,CA,<a href="https://www.mendocino.edu/article/mendocino-college-hold-fall-semester-%E2%80%9Cprimarily%E2%80%9D-online" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
Menlo College,Private,CA,<a href="https://docs.google.com/document/d/e/2PACX-1vRNO3wQWi8C66GKeK1bJWFcVC73O-ZPevywKWj3cVysjpll_Reywjj9Gowh9jVdIovBPIEbtT70KZw0/pub" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Mercer University,Private,GA,<a href="https://www.mercer.edu/coronavirus/faq/" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Mercyhurst University,Private,PA,<a href="https://www.mercyhurst.edu/news/mercyhurst-announces-return-to-in-person-classes-this-fall" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Merrimack College,Private,MA,<a href="https://www.merrimack.edu/health-alerts/april-19-coronavirus-update/index.php" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Merritt College,Public,CA,<a href="https://alameda.peralta.edu/announcement/coronavirus-update-for-peralta-students-and-employees/" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
Messiah College,Private,PA,<a href="https://messiah911.wordpress.com/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Methodist University,Private,NC,<a href="https://www.methodist.edu/coronavirus/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Metropolitan State University,Public,CO,<a href="https://www.msudenver.edu/coronavirus-update/fy-2020-21-fall-semester-051220/" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Miami Dade College,Public,FL,<a href="https://news.mdc.edu/we-made-it-to-the-end-of-the-spring-term/" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Miami University,Public,OH,<a href="https://www.miamioh.edu/news/top-stories/2020/04/crawford-community-update.html" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Michigan State University,Public,MI,<a href="https://president.msu.edu/communications/messages-statements/2020_community_letters/2020_05_27_message_campus.html" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Michigan Technological University,Public,MI,<a href="https://www.mtu.edu/flex/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Mid-America Christian University,Private,OK,<a href="https://www.macu.edu/coronavirus-updates" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Mid-Atlantic Christian University,Private,NC,<a href="http://www.macuniversity.edu/news/macus-official-coronavirus-covid-19-update" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Middle Tennessee State University,Public,TN,<a href="https://mtsu.edu/coronavirus/archive/post/117/april-30-campus-update-from-president-mcphee" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Middlebury College,Private,VT,<a href="https://www.middlebury.edu/office/announcements/previous-announcements/considering-leave-absence-middlebury" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Midlands University,Private,NE,<a href="https://www.midlandu.edu/midland-university-plans-person-classes-fall" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Midwestern State University,Public,TX,<a href="https://msutexas.edu/coronavirus/index.php" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Millikin University,Private,IL,<a href="https://millikin.edu/covid19update/05-13-2020" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Millsaps College,Private,MS,<a href="http://www.millsaps.edu/coronavirus/may-4-campus-update.php" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Milwaukee School of Engineering,Private,WI,<a href="https://www.msoe.edu/raider-return/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Minnesota State University at Mankato,Public,MN,<a href="https://mankato.mnsu.edu/about-the-university/news-and-events/covid-19-novel-coronavirus-and-the-campus-community/covid-19-announcements/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Minnesota State University at Moorhead,Public,MN,<a href="https://www.mnstate.edu/emergency/covid-19/faqs/" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
MiraCosta College,Public,CA,<a href="http://miracosta.edu/covid" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
Mission College,Public,CA,<a href="https://missioncollege.edu/class_schedule/index.html" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Mississippi College,Private,MS,<a href="https://www.wjtv.com/news/mississippi-college-to-reopen-campus-fall-2020/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Mississippi Public Universities,Public,MS,<a href="http://www.mississippi.edu/pr/newsstory.asp?ID=1632" target="_blank" rel="nofollow noopener noreferrer">Link</a>
Mississippi Public Universities — Alcorn State University,Public,MS,Planning for in-person
Mississippi Public Universities — Delta State University,Public,MS,Planning for in-person
Mississippi Public Universities — Jackson State University,Public,MS,Planning for in-person
Mississippi Public Universities — Mississippi State University,Public,MS,Planning for in-person
Mississippi Public Universities — Mississippi University for Women,Public,MS,Planning for in-person
Mississippi Public Universities — Mississippi Valley State University,Public,MS,Planning for in-person
Mississippi Public Universities — University of Mississippi,Public,MS,Planning for in-person
Mississippi Public Universities — University of Southern Mississippi,Public,MS,Planning for in-person
Missouri Southern State University,Public,MO,<a href="https://emergency.mssu.edu/missouri-southern-offers-update-on-fall-2020-semester/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Missouri State University,Public,MO,<a href="https://www.missouristate.edu/Coronavirus/return-to-campus-and-travel-policy.htm" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Missouri University of Science and Technology,Public,MO,<a href="https://news.mst.edu/2020/05/missouri-st-plans-to-resume-in-person-classes-this-fall/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Missouri Western State University,Public,MO,<a href="https://www.missouriwestern.edu/news/2020/05/22/missouri-western-continues-to-plan-for-in-person-classes-this-fall/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Montana State University,Public,MT,<a href="http://www.msubillings.edu/news/article.asp?id=20014#msu-billings-announces-early-start-to-fall-2020-semester" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Montana Technological University,Public,MT,<a href="https://mtstandard.com/news/local/a-chancellors-challenge/article_b307bc8f-dfa5-5dd5-ae4a-61676b2be5d4.html" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Montclair State University,Public,NJ,<a href="https://www.montclair.edu/president/state-of-the-university-address-may-6-2020/" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Montgomery College,Public,MD,<a href="https://www.montgomerycollege.edu/_documents/coronavirus/fall-schedule-and-new-webpages-05-11-2020.pdf" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Moravian College,Private,PA,<a href="https://www.mcall.com/news/education/mc-nws-bethlehem-moravian-coronavirus-fall-semester-20200528-hryxysrsxzafvca7l7fgponile-story.html
" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Morehead State University,Public,KY,<a href="https://www.moreheadstate.edu/healthyatmsu" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Morgan State University,Public,MD,<a href="https://www.morgan.edu/reopeningmsu" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Morningside College,Private,IA,<a href="https://www.morningside.edu/news/from-president-reynders-when-fall-semester-arrives-morningside-will-be-open-ready/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Mount Holyoke,Private,MA,<a href="https://www.mtholyoke.edu/health/coronavirus" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Mount St. Joseph University,Private,OH,<a href="https://www.msj.edu/news/2020/05/president-end-of-semester-message.html " target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Mount St. Mary's University,Private,MD,<a href="https://news.msmary.edu/2020/05/mount-st-marys-to-resume-on-campus-classes-for-fall-2020.html" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Mount Union University,Private,OH,<a href="https://www.mountunion.edu/covid-19" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Murray State University,Public,KY,<a href="https://www.murraystate.edu/racerrestart/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Nazareth College,Private,NY,<a href="https://www2.naz.edu/news/archive/2020/May/592/nazareth-college-committed-to-full-on-
campus-college-experience-in-fall-2020" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Nebraska State College System,Public,NE,<a href="https://www.nscs.edu" target="_blank" rel="nofollow noopener noreferrer">Link</a>
Nebraska State College System – Chadron State College,Public,NE,Planning for in-person
Nebraska State College System – Peru State College,Public,NE,Planning for in-person
Nebraska State College System – Wayne State College,Public,NE,Planning for in-person
Nebraska Wesleyan University,Private,NE,<a href="https://www.nebrwesleyan.edu/about-nwu/covid-19-coronavirus-updates" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
New College of Florida,Public,FL,<a href="https://www.ncf.edu/emergency-management/campuswide-alerts/" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
